epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8715301156044006,0.4260488748550415,0.001,0.04838709533214569,7.675935745239258
1,0.9641350507736206,0.13053804636001587,0.001,0.04838709533214569,10.140223503112793
2,0.9709082841873169,0.09959980100393295,0.001,0.04838709533214569,11.062440872192383
3,0.9787918925285339,0.07652001082897186,0.001,0.04939516261219978,8.461456298828125
4,0.9853430986404419,0.039776511490345,0.0005,0.08467742055654526,6.747217178344727
5,0.9868976473808289,0.03408636897802353,0.0005,0.052419353276491165,7.83673620223999
6,0.9874528050422668,0.027851423248648643,0.0005,0.06955645233392715,7.071260452270508
7,0.9878969788551331,0.023516766726970673,0.0005,0.17439515888690948,6.113579273223877
8,0.9883410930633545,0.027683649212121964,0.0005,0.5231854915618896,2.5540771484375
9,0.9882300496101379,0.023950103670358658,0.0005,0.7681451439857483,1.0547783374786377
10,0.9864534735679626,0.03201109915971756,0.0005,0.04838709533214569,12.536020278930664
11,0.9830113053321838,0.046418696641922,0.0005,0.04838709533214569,12.614777565002441
12,0.9843437671661377,0.04477832838892937,0.0005,0.04838709533214569,16.558393478393555
13,0.9894514679908752,0.025037307292222977,0.00025,0.04838709533214569,17.75891876220703
14,0.9888963103294373,0.021061986684799194,0.00025,0.04939516261219978,14.276108741760254
15,0.9881190061569214,0.021153884008526802,0.00025,0.9536290168762207,0.17103558778762817
16,0.9889184236526489,0.01906927488744259,0.00025,0.9909273982048035,0.04042992368340492
17,0.9898956418037415,0.019981149584054947,0.00025,0.6673387289047241,1.8611983060836792
18,0.9890073537826538,0.02111600525677204,0.00025,0.04838709533214569,17.175640106201172
19,0.9895625114440918,0.02127624675631523,0.00025,0.12298387289047241,10.0548734664917
20,0.9897845983505249,0.016893072053790092,0.000125,0.9949596524238586,0.017367418855428696
21,0.9902287125587463,0.015732457861304283,0.000125,0.9989919066429138,0.005254653282463551
22,0.9901177287101746,0.01585037261247635,0.000125,0.9989919066429138,0.00582499522715807
23,0.9902287125587463,0.015419390983879566,0.000125,1.0,0.005332825239747763
24,0.992116391658783,0.013715172186493874,0.000125,0.992943525314331,0.013812473975121975
25,0.990561842918396,0.01383876334875822,6.25e-05,0.9979838728904724,0.009989860467612743
26,0.9898956418037415,0.014409767463803291,6.25e-05,0.35383063554763794,7.154531955718994
27,0.9898956418037415,0.013740722090005875,6.25e-05,0.9969757795333862,0.006645068991929293
28,0.9906728863716125,0.01355964969843626,3.125e-05,1.0,0.0019721605349332094
29,0.9916722178459167,0.01306708063930273,3.125e-05,0.9989919066429138,0.0020014275796711445
30,0.9915611743927002,0.013119358569383621,3.125e-05,0.9989919066429138,0.0019819196313619614
31,0.9897845983505249,0.01379211526364088,3.125e-05,1.0,0.0009715224732644856
32,0.9904507994651794,0.013446778059005737,3.125e-05,0.9979838728904724,0.004947432782500982
33,0.990561842918396,0.01293299812823534,3.125e-05,1.0,0.0012423808220773935
34,0.9906728863716125,0.013252568431198597,3.125e-05,0.992943525314331,0.02405901812016964
35,0.992671549320221,0.012742344290018082,1.5625e-05,0.9989919066429138,0.004662215244024992
36,0.9895625114440918,0.01381006184965372,1.5625e-05,1.0,0.0020781897474080324
37,0.9907839298248291,0.012917721644043922,1.5625e-05,0.9979838728904724,0.0025880439206957817
38,0.9896735548973083,0.013296099379658699,7.8125e-06,1.0,0.002429079497233033
39,0.9914501309394836,0.012346534058451653,7.8125e-06,1.0,0.0017894799821078777
