,precision,recall,f1-score,support
frontal,0.9818181818181818,0.9759036144578314,0.9788519637462236,166.0
frontal_90,0.9763313609467456,0.9939759036144579,0.9850746268656716,166.0
frontal_180,0.9715909090909091,0.9941860465116279,0.9827586206896551,172.0
frontal_270,1.0,0.9879518072289156,0.993939393939394,166.0
left,0.9181286549707602,0.9691358024691358,0.942942942942943,162.0
left_90,0.968944099378882,0.9629629629629629,0.9659442724458205,162.0
left_180,0.9573170731707317,0.9691358024691358,0.9631901840490797,162.0
left_270,0.9870967741935484,0.9444444444444444,0.9652996845425867,162.0
lower,0.967391304347826,0.9888888888888889,0.978021978021978,180.0
lower_90,0.9560975609756097,1.0,0.9775561097256857,196.0
lower_180,0.9798994974874372,0.9948979591836735,0.9873417721518988,196.0
lower_270,0.9742268041237113,0.9642857142857143,0.9692307692307692,196.0
others,0.9949874686716792,1.0,0.9974874371859296,397.0
right,0.9772727272727273,0.9502762430939227,0.9635854341736695,181.0
right_90,0.9123711340206185,0.9779005524861878,0.944,181.0
right_180,0.9820359281437125,0.9060773480662984,0.9425287356321839,181.0
right_270,0.956989247311828,0.9834254143646409,0.9700272479564033,181.0
upper,1.0,0.9702380952380952,0.984894259818731,168.0
upper_90,0.9939024390243902,0.9702380952380952,0.9819277108433735,168.0
upper_180,1.0,0.9523809523809523,0.975609756097561,168.0
upper_270,0.9938650306748467,0.9642857142857143,0.9788519637462235,168.0
accuracy,0.974220159835009,0.974220159835009,0.974220159835009,0.974220159835009
macro avg,0.973822199791626,0.9724091124605094,0.9728126125621799,3879.0
weighted avg,0.9748248665670429,0.974220159835009,0.9742336335764191,3879.0
